para,is_subjective
0,the movie begins in the past where a young boy named sam attempts to save celebi from a hunter,0
1,"emerging from the human psyche and showing characteristics of abstract expressionism , minimalism and russian constructivism , graffiti removal has secured its place in the history of modern art while being created by artists who are unconscious of their artistic achievements",0
2,"spurning her mother's insistence that she get on with her life , mary is thrown out of the house , rejected by joe , and expelled from school as she grows larger with child",0
3,"amitabh can't believe the board of directors and his mind is filled with revenge and what better revenge than robbing the bank himself , ironic as it may sound",0
4,"she , among others excentricities , talks to a small rock , gertrude , like if she was alive",0
5,this gives the girls a fair chance of pulling the wool over their eyes using their sexiness to poach any last vestige of common sense the dons might have had,0
6,"styled after vh1's "" behind the music , "" this mockumentary profiles the rise and fall of an internet startup , called icevan com",0
7,being blue is not his only predicament ; he also lacks the ability to outwardly express his emotions,0
8,"the killer's clues are a perversion of biblical punishments for sins : stoning , burning , decapitation",0
9,david is a painter with painter's block who takes a job as a waiter to get some inspiration,0
10,women craved him and men wanted to be him,0
11,"set on an island off the coast of florida , a techno rave party attracts a diverse group of college coeds and a coast guard officer",0
12,"lesson to be learned : never , never mess with "" the gay mafia ! """,0
13,the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities between the two brothers,0
14,"they're jewish , they're grandmothers , and they're lesbians",0
15,"but he's neglecting his work , carping at his mom , and behaving badly toward his loyal friend bobbi",0
16,"with all this going on , gerry's estranged wife margaret is worried for her daughter's safety and finds herself another target in the race to find the code",0
17,valento feels the heat and turns the table : he makes the dupe into one of his own and rubs the da's nose in it,0
18,"saigon , 1952 , a beautiful , exotic , and mysterious city caught in the grips of the vietnamese war of liberation from the french colonial powers",0
19,"deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking",0
20,"as a young teenager , he finds out who his father is",0
21,"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in "" &#193 ; nglio , "" l a 's east side",0
22,"all these games of chasing , rejecting and seducing are played out in an economically and spiritually depressed hong kong , without much gusto",0
23,"television made him famous , but his biggest hits happened off screen",0
24,jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice,0
25,"'bloody magic' is the story of zack , an eleven year old school boy , who's family is visited by three debt collectors",0
26,"however , jane , wendy's 12-year-old daughter , sees it all as make believe and refuses to believe in the tales",0
27,"called "" an elegant documentary "" by sundance and "" eloquent and deeply moving "" by the la times , toyo miyatake : infinite shades of gray is a penetrating portrait of this photographer's search for truth and beauty in a world of impermanence",0
28,straight up : helicopters in action will take audiences on a series of aerial adventures,0
29,a lapp woman anni gives a shelter to both of them at her farm,0
30,"it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots",0
31,a set of grisly murders brings fbi agent will graham ( norton ) out of retirement and puts him in search of an atrocious killer ( fiennes ) who's driven by the image of a painting,0
32,"soon , the team begins to suspect that knowles' main objective is actually to recover the prototype of a dna testing machine called the huxley project , which his company has spent years and millions of dollars developing",0
33,"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives",0
34,"with a rare gift for melding subjectivity with biographical facts , m&#225 ; rton brings sabina spielrein back to life , body and soul",0
35,"seeking a mental escape , simone begins to tune into what's happening with the other couples around her",0
36,"the beatle fan is a drama about albert , a psychotic prisoner who is a devoted fan of john lennon and the beatles",0
37,"then , in 1974 , something incredible happened - they fell in love",0
38,"on her deathbed , candice klein accidentally asks the question , "" what did i ever do to deserve this ? """,0
39,"shot as a "" behind-the-scenes "" look at how a fictional kung-fu movie is made , the film is basically a movie about the making of a movie",0
40,"before the investigation ends , we've met boyfriends , a drug dealer , alicia's mom , hadley's dad , nurses , doctors , and an orderly",0
41,but what exactly is good &#38 ; what exactly is evil ?,0
42,"the movie takes place in mexico , 2002 ( based on a story from the 1800's )",0
43,"rainone's love affair with singing sensation kelly mcguire whom he discovered and his near demise by the hands of his own prot&#233 ; g&#233 ; vincent riccola is the juice that fuels this roller coaster ride through two debauchery-filled decades of greed , sex , drugs and rock and roll",0
44,"trapped in a lovers triangle and ruthless game of lust , greed , and betrayal we follow one woman's hypnotic journey to discover her true self ",0
45,"decent-but-dull dek loves shirley , so much so that he humiliates her by proposing without warning on national television",0
46,"since all her architects are either busy otherwise or too conservative in style , this ambivalent honour falls to numerobis",0
47,"there's a story that goes around the town of darkness falls about her , and she's called the tooth fairy",0
48,a strange film employing old home movies and newly shot footage in an effort to expose one hungarian family and their mutiple problems from the 1940s to current,0
49,"matsumoto and sawako were a happy couple , but meddling parents and chase for success push the boy to a tragic choice",0
